	Length	Potato_1_UY	Potato_2_UY	Potato_3_UY	Control_1_UY	Control_2_UY	Control_3_UY	Location
UW163_19095	1347	32	363	117	9288	11784	14812	Megaplasmid
UW163_19100	681	15	127	52	3113	3505	5324	Megaplasmid
UW163_19105	648	53	575	272	12561	17326	31695	Megaplasmid
UW163_19110	513	60	905	158	7479	10454	20196	Megaplasmid
UW163_19115	1491	307	3149	684	28047	41742	77401	Megaplasmid
UW163_19120	504	330	4774	732	36502	47642	95457	Megaplasmid
UW163_19125	474	101	825	97	4796	7010	11093	Megaplasmid
UW163_19130	1851	33	417	131	12145	13971	14900	Megaplasmid
UW163_19135	1104	8	99	23	4489	4530	3831	Megaplasmid
UW163_19140	2724	123	378	108	13937	14016	13001	Megaplasmid
UW163_19150	942	18	69	10	380	555	735	Megaplasmid
UW163_19160	477	0	29	1	873	1116	620	Megaplasmid
UW163_19165	1374	21	241	52	8140	10104	10844	Megaplasmid
UW163_19170	1080	13	181	55	7390	8903	12068	Megaplasmid
UW163_19175	837	4	151	51	6659	7618	10724	Megaplasmid
UW163_19180	987	9	202	51	8372	10074	14816	Megaplasmid
UW163_19185	3936	79	827	212	27368	32806	46815	Megaplasmid
UW163_19190	1497	6	72	30	4320	3764	4541	Megaplasmid
UW163_19195	270	1	41	13	1730	2226	2688	Megaplasmid
UW163_19200	849	14	140	58	5198	5821	8600	Megaplasmid
UW163_19205	759	53	391	134	7262	9318	15574	Megaplasmid
UW163_19210	2781	456	231	87	6122	5533	6230	Megaplasmid
UW163_19220	510	1	5	2	11	5	14	Megaplasmid
UW163_19225	1188	371	64	17	4956	4461	2831	Megaplasmid
UW163_19230	888	1	13	1	2026	997	497	Megaplasmid
UW163_19235	936	1	16	9	2017	1769	638	Megaplasmid
UW163_19240	948	4	16	4	1160	686	703	Megaplasmid
UW163_19245	1566	10	32	6	1656	1040	532	Megaplasmid
UW163_19250	3246	295	63	26	11253	10366	3403	Megaplasmid
UW163_19255	546	176	1355	600	24808	29192	56455	Megaplasmid
UW163_19260	1158	27	212	108	7174	8880	15598	Megaplasmid
UW163_19265	2175	22	196	174	15784	18173	28625	Megaplasmid
UW163_19270	2103	182	1598	210	16748	23116	24540	Megaplasmid
UW163_19275	720	4	26	13	3980	4513	2343	Megaplasmid
UW163_19280	534	6	97	22	1564	1896	1627	Megaplasmid
UW163_19285	357	31	125	38	2736	3680	6818	Megaplasmid
UW163_19290	1737	14	303	45	5505	6066	3150	Megaplasmid
UW163_19295	864	1	7	5	3091	2963	971	Megaplasmid
UW163_19300	1101	1	14	9	2369	1456	343	Megaplasmid
UW163_19305	1755	2	20	15	5877	5152	876	Megaplasmid
UW163_19310	867	4	5	3	2143	1240	203	Megaplasmid
UW163_19315	1020	11	30	8	5259	6337	1471	Megaplasmid
UW163_19320	1224	14	38	5	1892	994	343	Megaplasmid
UW163_19325	708	14	14	2	250	175	156	Megaplasmid
UW163_19330	420	2	35	8	2555	2098	1897	Megaplasmid
UW163_19335	1959	9	49	14	6261	6496	1450	Megaplasmid
UW163_19340	564	1	9	1	596	359	249	Megaplasmid
UW163_19345	1992	11	56	16	5569	4579	1021	Megaplasmid
UW163_19350	1674	76	1205	153	5918	8575	8472	Megaplasmid
UW163_19355	624	29	125	20	3595	4753	3114	Megaplasmid
UW163_19360	687	3	16	5	1768	1334	284	Megaplasmid
UW163_19365	1497	8	41	17	5589	4658	1150	Megaplasmid
UW163_19370	3156	28	122	43	12897	15240	4539	Megaplasmid
UW163_19375	1230	9	36	17	4297	3287	889	Megaplasmid
UW163_19380	879	11	39	19	4258	3988	2269	Megaplasmid
UW163_19385	213	0	4	1	34	16	26	Megaplasmid
UW163_19390	384	57	263	84	4522	5531	8726	Megaplasmid
UW163_19395	1017	1	13	1	10	7	7	Megaplasmid
UW163_19400	897	2	35	51	4082	4929	5345	Megaplasmid
UW163_19405	1254	25	9	3	16	17	17	Megaplasmid
UW163_19410	921	14	353	62	2804	3091	1894	Megaplasmid
UW163_19415	936	20	592	55	3473	3786	1423	Megaplasmid
UW163_19420	1587	4	58	18	2714	1488	724	Megaplasmid
UW163_19425	1353	47	330	34	6423	7327	1608	Megaplasmid
UW163_19430	1410	6	63	13	4267	3680	841	Megaplasmid
UW163_19435	1602	31	140	40	5789	5336	2052	Megaplasmid
UW163_19440	849	39	68	11	2600	2331	1015	Megaplasmid
UW163_19445	855	3	25	8	2910	2453	713	Megaplasmid
UW163_19450	2061	59	128	27	2211	2376	1747	Megaplasmid
UW163_19455	1320	8	144	21	3894	4983	2161	Megaplasmid
UW163_19460	1038	8	199	59	6611	7106	6561	Megaplasmid
UW163_19465	1452	15	91	39	7471	7378	4746	Megaplasmid
UW163_19470	435	5	109	21	938	1324	460	Megaplasmid
UW163_19475	546	1	67	29	2680	3081	1133	Megaplasmid
UW163_19480	429	2	10	13	460	378	117	Megaplasmid
UW163_19485	1557	14	108	41	4551	3907	1137	Megaplasmid
UW163_19490	696	10	187	32	1237	1136	493	Megaplasmid
UW163_19500	1950	25	425	147	5962	5105	3495	Megaplasmid
UW163_19505	405	2	41	13	2518	2587	1079	Megaplasmid
UW163_19510	867	4	12	8	1414	884	339	Megaplasmid
UW163_19515	4452	19	341	54	16451	19226	4166	Megaplasmid
UW163_19520	3900	6	33	12	7905	6808	1585	Megaplasmid
UW163_19525	3990	31	155	37	10032	8939	2561	Megaplasmid
UW163_19530	378	6	78	33	2435	3314	1321	Megaplasmid
UW163_19535	510	17	248	73	3652	3630	4913	Megaplasmid
UW163_19540	948	7	76	20	2663	1472	1166	Megaplasmid
UW163_19545	528	20	146	34	2089	2376	1689	Megaplasmid
UW163_19550	738	27	424	65	3549	4294	2771	Megaplasmid
UW163_19555	456	25	177	41	1558	2312	952	Megaplasmid
UW163_19560	204	14	134	15	1297	1740	513	Megaplasmid
UW163_19565	249	1150	6884	1644	1235	1883	1376	Megaplasmid
UW163_19570	246	34	222	65	2776	3275	2689	Megaplasmid
UW163_19575	969	13	194	42	3003	2952	1757	Megaplasmid
UW163_19580	999	16	187	84	3936	3464	1172	Megaplasmid
UW163_19585	261	4	76	13	896	1174	346	Megaplasmid
UW163_19590	654	21	253	72	2165	2887	694	Megaplasmid
UW163_19595	1071	4	56	59	2574	2199	383	Megaplasmid
UW163_19600	594	9	43	6	994	1020	268	Megaplasmid
UW163_19605	2073	11	211	56	7142	8251	1579	Megaplasmid
UW163_19610	1065	11	91	23	4051	4247	565	Megaplasmid
UW163_19615	486	54	357	48	2205	2206	287	Megaplasmid
UW163_19620	387	12	162	52	1986	2233	350	Megaplasmid
UW163_19625	810	13	285	79	2114	2221	418	Megaplasmid
UW163_19630	633	0	15	11	977	474	107	Megaplasmid
UW163_19635	894	7	37	12	1025	602	118	Megaplasmid
UW163_19640	1320	19	182	58	3004	2809	666	Megaplasmid
UW163_19645	501	1	34	5	543	323	141	Megaplasmid
UW163_19650	849	39	326	70	3036	4693	2996	Megaplasmid
UW163_19655	1434	20	638	116	5222	5369	1109	Megaplasmid
UW163_19660	1704	22	406	101	5418	5530	1416	Megaplasmid
UW163_19665	2679	191	1201	289	6098	8508	4255	Megaplasmid
UW163_19670	525	74	458	260	1323	2232	460	Megaplasmid
UW163_19675	1011	116	600	207	1006	1146	280	Megaplasmid
UW163_19680	813	19	57	14	2122	3730	2602	Megaplasmid
UW163_19685	723	11	47	25	3711	5012	2702	Megaplasmid
UW163_19690	516	4	22	5	2178	2559	605	Megaplasmid
UW163_19695	909	4	46	9	3603	4499	1285	Megaplasmid
UW163_19700	417	5	65	22	1409	2297	1533	Megaplasmid
UW163_19705	426	9	9	1	257	728	242	Megaplasmid
UW163_19710	891	2	33	16	3850	4333	1000	Megaplasmid
UW163_19715	2370	5	139	56	13553	14466	10973	Megaplasmid
UW163_19720	1740	15	134	27	1335	1278	622	Megaplasmid
UW163_19725	1608	19	193	51	3415	3945	1359	Megaplasmid
UW163_19730	2274	204	110	46	6869	7609	2235	Megaplasmid
UW163_19735	933	9	48	23	2546	2701	665	Megaplasmid
UW163_19740	297	4	44	11	1576	1731	586	Megaplasmid
UW163_19745	2907	331	139	54	11883	11138	12151	Megaplasmid
UW163_19750	5181	117	53	11	59	68	74	Megaplasmid
UW163_19755	1446	9	23	5	17	16	30	Megaplasmid
UW163_19760	12591	304	122	33	136	171	188	Megaplasmid
UW163_19765	7803	132	90	18	95	87	135	Megaplasmid
UW163_19770	7113	114	96	31	98	110	174	Megaplasmid
UW163_19775	1989	4	12	6	20	18	27	Megaplasmid
UW163_19780	1701	5	32	17	6812	5802	3655	Megaplasmid
UW163_19785	2232	88	564	171	6844	9517	13034	Megaplasmid
UW163_19790	942	11	156	43	4309	6233	4298	Megaplasmid
UW163_19795	1179	15	144	29	3132	4898	3004	Megaplasmid
UW163_19800	783	8	81	21	1638	2412	1700	Megaplasmid
UW163_19805	360	24	114	11	799	1183	1210	Megaplasmid
UW163_19810	6684	43	140	38	10797	11270	2332	Megaplasmid
UW163_19815	297	0	3	0	5	9	7	Megaplasmid
UW163_19825	339	1	2	0	0	2	2	Megaplasmid
UW163_19830	1080	1	4	2	11	12	4	Megaplasmid
UW163_19835	1194	1	8	4	12	16	16	Megaplasmid
UW163_19840	1038	4	17	1	15	18	27	Megaplasmid
UW163_19845	852	197	1991	302	21134	27132	38762	Megaplasmid
UW163_19850	1335	45	155	19	4171	3999	2915	Megaplasmid
UW163_19855	555	5	10	6	1330	1118	516	Megaplasmid
UW163_19860	1062	35	68	43	5864	5859	3230	Megaplasmid
UW163_19865	387	11	59	15	1369	1157	1193	Megaplasmid
UW163_19870	1917	22	218	55	12941	13753	7624	Megaplasmid
UW163_19875	462	2	13	8	2680	2453	1259	Megaplasmid
UW163_19880	1197	7	72	6	6060	4159	2362	Megaplasmid
UW163_19885	1191	42	29	18	6055	4746	1637	Megaplasmid
UW163_19890	1182	11	33	22	6833	6084	2385	Megaplasmid
UW163_19895	1647	13	65	23	9852	8597	3911	Megaplasmid
UW163_19900	1881	13	39	22	9767	6271	4179	Megaplasmid
UW163_19905	315	4	8	8	1748	1594	886	Megaplasmid
UW163_19910	456	2	13	3	2495	2442	1229	Megaplasmid
UW163_19915	1170	7	63	25	7083	6611	3734	Megaplasmid
UW163_19920	360	5	48	81	2810	3151	4522	Megaplasmid
UW163_19925	1194	7	62	18	3939	4429	3001	Megaplasmid
UW163_19930	5502	68	374	85	18938	20386	15285	Megaplasmid
UW163_19935	5838	350	379	182	31925	29577	30339	Megaplasmid
UW163_19940	594	4	90	24	2383	2559	2498	Megaplasmid
UW163_19945	1704	225	1805	639	20497	27093	48417	Megaplasmid
UW163_19950	1119	476	2398	932	43500	56062	101187	Megaplasmid
UW163_19955	1710	2192	17965	8636	226748	308582	561435	Megaplasmid
UW163_19960	924	498	4085	1891	63191	87188	126912	Megaplasmid
UW163_19965	2001	887	6937	1542	71174	101432	148974	Megaplasmid
UW163_19970	675	6	38	26	1453	1581	2833	Megaplasmid
UW163_19975	1188	81	1028	541	27625	36883	68531	Megaplasmid
UW163_19980	648	138	1178	252	22139	29191	52504	Megaplasmid
UW163_19985	612	73	728	274	23154	26828	47853	Megaplasmid
UW163_19990	1254	51	989	409	37865	45099	88449	Megaplasmid
UW163_19995	1836	101	1618	734	49109	61393	126959	Megaplasmid
UW163_20000	2142	180	2920	1049	60609	82653	166845	Megaplasmid
UW163_20005	513	30	394	153	9700	13347	25209	Megaplasmid
UW163_20010	1164	152	1439	462	25077	32619	68120	Megaplasmid
UW163_20015	1257	352	1465	356	15587	20605	42592	Megaplasmid
UW163_20020	1311	151	2069	567	34251	40746	89408	Megaplasmid
UW163_20025	1272	226	3713	1282	65915	87390	164779	Megaplasmid
UW163_20030	1128	273	2641	1017	57531	77155	150158	Megaplasmid
UW163_20035	2253	1071	10251	2817	176529	228583	493631	Megaplasmid
UW163_20040	438	199	1948	387	26235	34548	69146	Megaplasmid
UW163_20045	1134	567	5033	1290	70282	94177	221692	Megaplasmid
UW163_20050	273	218	1662	516	13211	17925	49432	Megaplasmid
UW163_20055	1212	40	208	44	4389	5240	4456	Megaplasmid
UW163_20060	882	36	285	94	5400	6775	8753	Megaplasmid
UW163_20070	408	8	67	146	2705	2967	5413	Megaplasmid
UW163_20080	624	270	902	504	21502	27369	64067	Megaplasmid
UW163_20085	1821	3	67	40	7318	6367	3134	Megaplasmid
UW163_20090	1764	6	23	7	5623	5066	975	Megaplasmid
UW163_20095	2160	6	19	4	5371	4361	930	Megaplasmid
UW163_20100	960	4	14	3	2904	2963	1058	Megaplasmid
UW163_20105	444	3	8	2	601	585	139	Megaplasmid
UW163_20110	6222	12	63	25	8741	6309	1204	Megaplasmid
UW163_20115	1245	5	13	8	3039	2085	236	Megaplasmid
UW163_20120	9735	204	94	21	13694	9554	1536	Megaplasmid
UW163_20125	1128	0	11	4	2083	1558	223	Megaplasmid
UW163_20130	768	11	62	4	1440	924	131	Megaplasmid
UW163_20135	3000	4	20	6	5887	4295	671	Megaplasmid
UW163_20140	1101	6	60	13	3878	2883	1395	Megaplasmid
UW163_20145	1575	9	28	8	4813	4261	947	Megaplasmid
UW163_20150	732	1	12	2	2247	2262	364	Megaplasmid
UW163_20155	936	1	11	2	1203	843	139	Megaplasmid
UW163_20160	759	3	8	5	1298	719	92	Megaplasmid
UW163_20165	312	0	3	0	194	164	19	Megaplasmid
UW163_20170	4506	32	97	49	8844	9287	1488	Megaplasmid
UW163_20175	1470	3	47	21	5927	4654	1562	Megaplasmid
UW163_20180	1089	6	107	41	4570	4852	1555	Megaplasmid
UW163_20185	1626	7	84	10	4650	3993	1312	Megaplasmid
UW163_20190	924	6	38	9	4297	3374	852	Megaplasmid
UW163_20195	957	6	81	12	2605	2394	583	Megaplasmid
UW163_20200	1620	12	605	33	6050	7452	2424	Megaplasmid
UW163_20205	1293	12	92	4	2934	1733	539	Megaplasmid
UW163_20210	666	7	388	14	2645	3785	1308	Megaplasmid
UW163_20215	1476	3	43	9	4848	3692	885	Megaplasmid
UW163_20220	888	1	36	1	1480	896	505	Megaplasmid
UW163_20225	933	3	42	10	2519	1740	806	Megaplasmid
UW163_20230	1404	3	109	20	6404	4735	1543	Megaplasmid
UW163_20235	495	16	204	15	1942	2495	1074	Megaplasmid
UW163_20240	375	14	2	0	254	114	59	Megaplasmid
UW163_20245	1401	7	21	12	2076	1266	525	Megaplasmid
UW163_20250	1182	8	52	15	2716	2410	980	Megaplasmid
UW163_20255	354	1	24	6	1741	1557	630	Megaplasmid
UW163_20260	1182	6	24	12	2937	1974	984	Megaplasmid
UW163_20265	699	12	416	19	3313	3265	2806	Megaplasmid
UW163_20270	900	1	47	18	3630	2749	2636	Megaplasmid
UW163_20275	2610	17	78	31	8691	7764	9581	Megaplasmid
UW163_20280	3438	14	136	65	18022	19784	19205	Megaplasmid
UW163_20285	1068	10	77	39	6574	6005	6245	Megaplasmid
UW163_20290	573	2	10	7	1584	1770	1740	Megaplasmid
UW163_20295	861	1	71	18	3766	3229	2961	Megaplasmid
UW163_20300	252	9	107	27	3380	3616	5524	Megaplasmid
UW163_20305	270	5	201	72	4227	3454	6526	Megaplasmid
UW163_20310	879	2	118	22	3988	3341	2924	Megaplasmid
UW163_20315	771	5	25	5	964	643	506	Megaplasmid
UW163_20320	489	1	30	7	2490	2271	869	Megaplasmid
UW163_20325	435	2	15	6	1787	979	766	Megaplasmid
UW163_20330	1446	16	112	40	5333	6631	5466	Megaplasmid
UW163_20335	1167	3	45	12	4880	4659	2969	Megaplasmid
UW163_20340	3096	46	269	111	17119	21258	18288	Megaplasmid
UW163_20345	465	173	7	4	829	636	265	Megaplasmid
UW163_20350	1377	18	121	34	5613	6416	3117	Megaplasmid
UW163_20355	1650	13	347	41	9218	9689	8867	Megaplasmid
UW163_20360	2352	187	328	96	11970	13034	11915	Megaplasmid
UW163_20365	249	2	1	0	467	205	311	Megaplasmid
UW163_20370	819	3	23	10	2399	1689	1270	Megaplasmid
UW163_20375	1605	7	148	43	9055	8441	5733	Megaplasmid
UW163_20380	1896	141	958	138	11772	14446	15886	Megaplasmid
UW163_20385	204	688	5380	1069	49729	56380	128463	Megaplasmid
UW163_20390	207	198	1725	421	9927	12982	29626	Megaplasmid
UW163_20395	1524	108	5816	361	14896	13804	9079	Megaplasmid
UW163_20400	1338	42	1907	208	12794	12002	5379	Megaplasmid
UW163_20405	1404	8	31	8	4778	3404	1776	Megaplasmid
UW163_20410	744	7	136	33	5592	6778	3994	Megaplasmid
UW163_20415	786	18	236	82	8143	9866	7679	Megaplasmid
UW163_20420	1275	16	140	76	8831	9288	8822	Megaplasmid
UW163_20425	2796	24	74	23	3242	3901	1082	Megaplasmid
UW163_20430	1125	3	25	4	2262	1167	856	Megaplasmid
UW163_20435	2130	30	214	126	9397	10305	2928	Megaplasmid
UW163_20440	981	27	49	61	3027	2126	857	Megaplasmid
UW163_20445	5187	212	952	678	15627	14873	6321	Megaplasmid
UW163_20450	2553	46	588	413	8961	8640	6427	Megaplasmid
UW163_20455	1242	116	837	532	7663	8608	7218	Megaplasmid
UW163_20460	1431	176	995	602	7029	8402	9233	Megaplasmid
UW163_20465	1398	80	900	578	8097	9387	11456	Megaplasmid
UW163_20470	1023	74	766	419	7089	8889	16239	Megaplasmid
UW163_20475	405	1	7	3	547	615	245	Megaplasmid
UW163_20485	315	0	24	5	416	646	615	Megaplasmid
UW163_20490	297	9	53	14	662	1100	1553	Megaplasmid
UW163_20495	378	33	200	22	1279	1582	3110	Megaplasmid
UW163_20500	987	44	269	48	2478	4269	2708	Megaplasmid
UW163_20505	1017	0	0	0	0	2	5	Megaplasmid
UW163_20510	789	1	0	0	3	1	1	Megaplasmid
UW163_20515	309	2	12	4	893	1187	320	Megaplasmid
UW163_20520	228	0	4	1	15	17	15	Megaplasmid
UW163_20525	606	4	33	7	1488	1749	556	Megaplasmid
UW163_20530	912	4	6	1	5	5	11	Megaplasmid
UW163_20535	8838	90	258	56	26160	24086	4220	Megaplasmid
UW163_20540	561	0	12	4	2183	2046	305	Megaplasmid
UW163_20545	1737	101	151	51	8467	9067	5355	Megaplasmid
UW163_20550	711	2	25	20	2028	1484	1461	Megaplasmid
UW163_20555	1212	3	18	6	1263	884	358	Megaplasmid
UW163_20560	345	6	10	1	503	447	157	Megaplasmid
UW163_20565	1155	5	112	79	8910	12142	19806	Megaplasmid
UW163_20570	291	29	289	113	3668	5075	8386	Megaplasmid
UW163_20575	792	30	226	64	6711	6712	10582	Megaplasmid
UW163_20580	1410	8	87	58	9012	10297	11754	Megaplasmid
UW163_20585	1623	11	87	34	5337	5998	5634	Megaplasmid
UW163_20590	327	0	5	5	1277	675	884	Megaplasmid
UW163_20595	924	6	30	8	2524	1757	2763	Megaplasmid
UW163_20600	981	6	49	26	5906	6150	7656	Megaplasmid
UW163_20605	927	7	67	25	5487	5003	6367	Megaplasmid
UW163_20610	1356	20	260	114	11996	14704	19547	Megaplasmid
UW163_20620	1389	37	275	121	11454	13539	18017	Megaplasmid
UW163_20625	936	5	53	23	4763	5259	7686	Megaplasmid
UW163_20630	480	25	256	62	6651	8559	13479	Megaplasmid
UW163_20635	552	47	439	99	10020	12249	19704	Megaplasmid
UW163_20640	177	203	1544	276	14419	18866	36427	Megaplasmid
UW163_20645	1056	3	17	17	2442	2095	1772	Megaplasmid
UW163_20650	1392	249	43	37	6420	5635	4582	Megaplasmid
UW163_20655	1674	47	707	193	14987	19364	23280	Megaplasmid
UW163_20660	1293	136	1828	485	17607	23938	37614	Megaplasmid
UW163_20665	2088	156	315	65	9165	10800	9806	Megaplasmid
UW163_20670	309	53	545	194	5667	8133	17867	Megaplasmid
UW163_20675	1542	7	47	5	5097	5032	1240	Megaplasmid
UW163_20680	1449	6	164	57	7506	7087	7739	Megaplasmid
UW163_20685	1026	16	319	92	8759	10725	14332	Megaplasmid
UW163_20690	972	4	29	14	5468	4807	4023	Megaplasmid
UW163_20695	789	1	9	9	2148	1616	1934	Megaplasmid
UW163_20700	1398	44	139	75	7820	11269	12669	Megaplasmid
UW163_20705	462	10	102	23	4031	4813	5895	Megaplasmid
UW163_20710	426	1	27	6	2253	1677	1521	Megaplasmid
UW163_20715	1020	5	67	20	3926	3707	2670	Megaplasmid
UW163_20720	768	4	10	6	2218	1717	1718	Megaplasmid
UW163_20725	1284	375	2285	929	36251	53186	90333	Megaplasmid
UW163_20730	945	98	514	196	10626	14624	25120	Megaplasmid
UW163_20735	1083	4	21	8	1717	1142	1159	Megaplasmid
UW163_20740	1326	108	33	11	4341	3367	672	Megaplasmid
UW163_20745	3210	16	112	30	12438	15502	3851	Megaplasmid
UW163_20750	1527	16	13	3	3814	2734	900	Megaplasmid
UW163_20755	651	2	15	5	2613	2568	653	Megaplasmid
UW163_20760	897	3	26	5	2154	1923	840	Megaplasmid
UW163_20765	699	4	27	2	10	11	11	Megaplasmid
UW163_20770	495	7	14	1	7	4	4	Megaplasmid
UW163_20775	474	2	6	1	3	9	12	Megaplasmid
UW163_20780	324	0	2	0	5	1	2	Megaplasmid
UW163_20785	1428	10	161	56	3218	4506	3138	Megaplasmid
UW163_20790	891	61	613	104	8564	11649	16843	Megaplasmid
UW163_20795	555	10	252	113	2749	2830	2770	Megaplasmid
UW163_20800	1041	2	49	7	2903	3138	1968	Megaplasmid
UW163_20805	915	9	38	20	4923	4877	3708	Megaplasmid
UW163_20810	687	9	23	15	3790	3439	1359	Megaplasmid
UW163_20815	738	0	12	9	2431	1888	826	Megaplasmid
UW163_20820	810	291	66	19	3611	2714	2679	Megaplasmid
UW163_20825	495	0	4	3	1122	750	155	Megaplasmid
UW163_20830	2745	6	59	22	10579	10281	2993	Megaplasmid
UW163_20835	366	3	3	3	972	794	406	Megaplasmid
UW163_20840	432	0	11	2	1006	618	243	Megaplasmid
UW163_20845	975	6	25	13	2483	1659	1166	Megaplasmid
UW163_20850	249	4	35	14	1471	1512	1056	Megaplasmid
UW163_20855	441	9	106	26	2677	3489	3042	Megaplasmid
UW163_20860	543	2	41	21	2663	2697	2660	Megaplasmid
UW163_20865	660	5	53	20	3077	3555	3225	Megaplasmid
UW163_20870	1608	7	119	24	4843	4474	4313	Megaplasmid
UW163_20875	240	0	20	6	1268	1658	642	Megaplasmid
UW163_20880	705	3	67	14	3963	4902	3130	Megaplasmid
UW163_20885	459	14	24	9	1938	2087	825	Megaplasmid
UW163_20890	945	14	30	9	1594	1462	1103	Megaplasmid
UW163_20895	1581	10	70	46	7521	9051	8874	Megaplasmid
UW163_20900	1344	9	20	13	6555	6437	1912	Megaplasmid
UW163_20905	2157	22	269	118	17219	19564	15688	Megaplasmid
UW163_20910	252	56	582	191	8628	12139	18378	Megaplasmid
UW163_20915	240	0	84	39	4094	3990	5113	Megaplasmid
UW163_20920	1275	8	67	33	6721	5625	3862	Megaplasmid
UW163_20925	2028	11	110	59	9365	8337	5823	Megaplasmid
UW163_20930	936	4	12	3	1999	1294	1656	Megaplasmid
UW163_20935	1278	9	90	35	4862	3668	4276	Megaplasmid
UW163_20940	870	10	85	36	4956	4707	6979	Megaplasmid
UW163_20945	1491	6	62	30	7147	5522	5105	Megaplasmid
UW163_20950	387	7	46	13	2664	2044	2211	Megaplasmid
UW163_20955	1353	16	133	34	7451	8139	5806	Megaplasmid
UW163_20960	627	3	63	11	2488	2154	2784	Megaplasmid
UW163_20965	735	110	15	9	3232	2432	2373	Megaplasmid
UW163_20970	270	2	30	1	1303	1662	817	Megaplasmid
UW163_20975	1656	35	96	48	7806	7105	8711	Megaplasmid
UW163_20980	456	5	54	20	3886	3861	5717	Megaplasmid
UW163_20985	1290	38	47	12	3451	2812	2409	Megaplasmid
UW163_20990	738	10	107	38	3273	3801	4480	Megaplasmid
UW163_20995	1338	10	78	27	7130	7243	5613	Megaplasmid
UW163_21000	3147	36	197	71	15668	19046	12882	Megaplasmid
UW163_21005	3102	42	203	56	16035	19093	13125	Megaplasmid
UW163_21010	1527	4	46	15	6568	4607	4375	Megaplasmid
UW163_21015	564	41	311	97	10596	10775	16244	Megaplasmid
UW163_21020	1344	5	243	96	8692	8207	10508	Megaplasmid
UW163_21025	468	15	319	114	6163	5546	10190	Megaplasmid
UW163_21030	909	12	48	20	4490	4365	2312	Megaplasmid
UW163_21035	1008	8	44	26	4025	4700	1287	Megaplasmid
UW163_21040	1434	34	241	58	6510	7740	4159	Megaplasmid
UW163_21045	1413	21	146	58	5714	4935	6344	Megaplasmid
UW163_21050	1569	3	31	15	4280	3557	772	Megaplasmid
UW163_21055	141	3	106	46	3462	3978	6685	Megaplasmid
UW163_21060	288	1	2	0	448	288	77	Megaplasmid
UW163_21065	1434	88	64	40	7314	7816	5394	Megaplasmid
UW163_21070	885	8	75	15	1517	2364	469	Megaplasmid
UW163_21075	1098	18	179	51	2764	4247	1953	Megaplasmid
UW163_21080	1368	4	89	37	4763	4706	1888	Megaplasmid
UW163_21085	654	55	44	30	1623	1416	784	Megaplasmid
UW163_21090	2403	25	149	48	5835	6820	1260	Megaplasmid
UW163_21095	1773	8	89	18	3287	4827	2016	Megaplasmid
UW163_21100	573	2	7	2	3	0	2	Megaplasmid
UW163_21105	9534	70	182	62	24354	26953	4748	Megaplasmid
UW163_21110	2748	25	75	26	11508	9409	4816	Megaplasmid
UW163_21115	1206	0	36	17	4795	3973	1504	Megaplasmid
UW163_21120	342	2	9	6	1449	1613	503	Megaplasmid
UW163_21125	2553	30	233	48	10720	13884	4731	Megaplasmid
UW163_21130	1326	10	88	20	4831	4591	1745	Megaplasmid
UW163_21135	1545	3	41	10	4445	4279	1467	Megaplasmid
UW163_21140	717	0	6	9	2675	2920	901	Megaplasmid
UW163_21145	582	43	24	6	1962	2728	1236	Megaplasmid
UW163_21150	975	7	28	14	4762	5596	2597	Megaplasmid
UW163_21155	417	1	21	9	1811	2104	1628	Megaplasmid
UW163_21160	1044	38	57	14	5971	7490	7790	Megaplasmid
UW163_21165	819	2	13	7	3785	4188	932	Megaplasmid
UW163_21170	849	0	0	0	1	1	1	Megaplasmid
UW163_21175	366	0	3	0	1	2	1	Megaplasmid
UW163_21180	1452	152	17	3	21	12	17	Megaplasmid
UW163_21185	381	4	15	14	1676	2243	1566	Megaplasmid
UW163_21190	651	4	16	8	3642	3965	535	Megaplasmid
UW163_21195	1215	103	81	12	4242	3337	524	Megaplasmid
UW163_21200	666	3	8	5	3433	3191	442	Megaplasmid
UW163_21205	666	2	5	6	3627	3971	459	Megaplasmid
UW163_21210	933	2	15	9	5662	6209	1582	Megaplasmid
UW163_21215	2097	7	68	27	2990	2809	553	Megaplasmid
UW163_21220	240	0	4	0	54	70	39	Megaplasmid
UW163_21225	657	0	15	10	2087	2462	611	Megaplasmid
UW163_21230	423	5	15	5	2383	2818	2030	Megaplasmid
UW163_21235	657	294	55	27	3080	4280	2931	Megaplasmid
UW163_21240	897	5	29	10	3375	3506	655	Megaplasmid
UW163_21245	1170	4	32	5	5295	4880	896	Megaplasmid
UW163_21250	1023	0	22	4	4817	4072	607	Megaplasmid
UW163_21255	1431	10	39	10	4503	5970	729	Megaplasmid
UW163_21260	1179	1	12	8	3188	3240	388	Megaplasmid
UW163_21265	765	3	25	4	2053	2420	1011	Megaplasmid
UW163_21270	711	1	2	6	1350	770	290	Megaplasmid
UW163_21275	2541	16	51	17	8571	10156	1865	Megaplasmid
UW163_21280	2424	6	48	9	7119	7600	863	Megaplasmid
UW163_21285	561	47	143	166	2993	4737	3492	Megaplasmid
UW163_21290	1389	54	199	117	5466	6299	4195	Megaplasmid
UW163_21295	1032	13	94	58	4837	5229	4398	Megaplasmid
UW163_21300	1029	8	46	14	2955	2865	971	Megaplasmid
UW163_21305	642	623	21	5	3926	2443	1130	Megaplasmid
UW163_21310	477	17	25	2	1928	2719	630	Megaplasmid
